客户ID,姓名,性别,出生日期,年龄,年龄段,婚姻状况,家庭结构,子女数量,是否有老人,教育程度,职业类别,职业,年收入,收入段,所在省份,所在城市等级,所在区域,获客渠道,获客日期,持有保单数,总年缴保费,客户价值等级,风险等级,互动频次,活跃度等级,互动评分,续保倾向评分,增购倾向评分,投诉次数,理赔次数总计
CUST00000023,金萍凤,女,1971-07-17,54,中年,离异,单身,0,0,高中及以下,1,医生,7453.44,<5万,吉林,四线及以下,东北,转介绍,2019-07-05,0,0.0,低价值,低风险,9,一般,51.54,0.5926,0.6941,0,0
CUST00000024,周诗,女,1987-09-28,38,中青,已婚,单身,0,1,大专,1,IT技术,87837.89,5-10万,云南,三线,西南,转介绍,2020-03-30,1,1803.55,核心,低风险,4,活跃,56.6,0.6321,0.8371,0,0
CUST00000025,袁萱诗,女,1988-10-18,37,中青,已婚,单身,0,1,大专,1,医生,20366.02,<5万,安徽,四线及以下,华东,广告投放,2018-08-02,2,3666.98,大众,中低风险,6,一般,34.36,0.7027,0.7528,0,1
CUST00000026,姚鹏轩,男,1974-08-08,51,中年,已婚,二人世界,1,0,本科,1,公务员,91172.91,5-10万,河北,二线,华北,自然流量,2022-07-25,0,0.0,低价值,中低风险,0,流失,8.54,0.4193,0.8628,0,0
CUST00000027,尹瑞,男,1984-03-30,42,中青,已婚,三代同堂,1,1,高中及以下,1,公务员,24765.03,<5万,湖北,新一线,华中,转介绍,2019-10-31,1,2360.4,大众,中低风险,6,沉睡,27.83,0.5321,0.7715,0,0
CUST00000028,戴楷,男,1993-02-28,33,青壮,离异,三口之家,1,0,大专,2,服务业,101179.73,10-20万,四川,一线,西南,广告投放,2020-09-15,4,9431.51,高净值,中低风险,0,流失,9.2,0.6392,0.8816,0,4
CUST00000029,吕思,男,1982-09-04,43,中青,已婚,四口之家,2,0,本科,1,金融从业,52204.88,5-10万,上海,三线,华东,广告投放,2020-06-12,2,9446.23,高净值,中低风险,5,一般,35.14,0.575,0.8503,0,0
CUST00000030,薛瑶,女,2013-08-28,12,少儿,未婚,单身,0,0,高中及以下,0,退休,16519.81,<5万,山东,新一线,华东,代理人拓展,2018-06-08,0,0.0,低价值,低风险,9,一般,38.03,0.5905,0.7616,0,0
CUST00000031,钟颖芬,女,2021-05-18,5,少儿,未婚,单身,0,0,本科,0,退休,91655.02,5-10万,广东,二线,华南,自然流量,2025-08-18,2,1105.99,大众,低风险,2,一般,48.28,0.5632,0.9069,0,0
CUST00000032,谢蕾,女,1977-03-16,49,中年,已婚,二人世界,0,1,高中及以下,2,农民,92164.37,5-10万,河南,二线,华中,代理人拓展,2025-02-17,1,802.43,大众,中风险,5,一般,31.9,0.5875,0.8071,0,0
CUST00000033,林峰,男,2002-03-09,24,青年,未婚,单身,0,0,高中及以下,0,退休,22253.31,<5万,天津,三线,华北,广告投放,2024-02-27,2,2177.92,大众,低风险,4,活跃,64.74,0.6542,0.8338,0,2
CUST00000034,丁然翔,男,1989-05-31,37,中青,已婚,四口之家,2,0,硕士,0,学生,162902.62,10-20万,江西,三线,华东,企业合作,2018-01-22,2,6457.719999999999,高净值,低风险,5,活跃,74.12,0.68,0.9035,0,3
CUST00000035,叶毅,男,1971-10-10,54,中年,离异,二人世界,2,0,硕士,1,企业职员,102236.49,10-20万,宁夏,新一线,西北,转介绍,2022-10-31,0,0.0,低价值,低风险,3,活跃,56.38,0.6959,0.8131,0,0
CUST00000036,郭博,男,1997-05-12,29,青壮,已婚,三口之家,1,1,本科,1,金融从业,108522.11,10-20万,安徽,二线,华东,广告投放,2023-04-14,0,0.0,低价值,中低风险,5,一般,43.34,0.6522,0.8437,0,0
CUST00000037,彭晨,男,1981-08-02,44,中青,已婚,三代同堂,1,0,大专,2,个体经营,7538.72,<5万,甘肃,三线,西北,企业合作,2021-06-15,5,12377.56,大众,中风险,2,一般,44.93,0.703,0.8614,0,1
CUST00000038,毛杰峰,男,1993-10-31,32,青壮,已婚,二人世界,0,0,高中及以下,2,服务业,97652.61,5-10万,青海,四线及以下,西北,企业合作,2021-03-18,2,1353.6,大众,中风险,3,一般,44.06,0.5975,0.8028,0,0
CUST00000039,孔哲,男,1970-09-03,55,中年,已婚,空巢,2,0,本科,3,工人,119389.42,10-20万,宁夏,三线,西北,自然流量,2020-02-24,0,0.0,低价值,中高风险,2,一般,35.83,0.5957,0.8517,0,0
CUST00000040,熊琪,女,1973-12-08,52,中年,已婚,三口之家,0,1,大专,1,企业职员,20849.72,<5万,湖南,四线及以下,华中,自然流量,2022-05-22,2,6094.33,大众,低风险,12,一般,44.87,0.6274,0.8224,0,0
CUST00000041,唐睿,男,1998-06-12,27,青壮,未婚,单身,0,0,高中及以下,1,医生,6323.56,<5万,山东,三线,华东,广告投放,2023-08-17,2,8125.209999999999,大众,低风险,6,一般,34.2,0.5506,0.7033,0,1
CUST00000042,钱芬雨,女,2003-02-21,23,青年,未婚,单身,0,0,大专,3,工人,43583.15,<5万,浙江,三线,华东,代理人拓展,2021-06-10,4,2746.88,大众,中风险,7,活跃,61.83,0.7873,0.927,0,0
CUST00000043,钱雅晓,女,1977-11-14,48,中年,已婚,三口之家,1,1,高中及以下,0,退休,16996.98,<5万,湖北,新一线,华中,转介绍,2023-03-08,2,10478.41,核心,低风险,7,一般,40.09,0.6263,0.7441,0,0
CUST00000044,贾轩皓,男,1983-06-02,43,中青,已婚,三代同堂,2,0,硕士,1,公务员,85835.47,5-10万,陕西,三线,西北,活动获客,2025-10-22,2,2947.7200000000003,核心,中低风险,6,一般,38.02,0.577,0.89,0,0
CUST00000045,叶慧敏,女,1993-08-02,32,青壮,已婚,三代同堂,3,0,高中及以下,2,自由职业,33543.4,<5万,青海,三线,西北,活动获客,2025-09-16,3,2641.5299999999997,大众,中低风险,3,一般,37.8,0.6763,0.898,0,1
CUST00000046,卢燕琪,女,1952-11-17,73,老年,已婚,二人世界,1,0,本科,2,自由职业,21684.28,<5万,河北,三线,华北,活动获客,2019-08-02,0,0.0,低价值,中风险,5,沉睡,11.71,0.3336,0.7253,0,0
CUST00000047,蒋波波,男,1995-03-29,31,青壮,离异,二人世界,0,1,大专,0,学生,111542.17,10-20万,辽宁,二线,东北,广告投放,2021-01-05,1,2760.87,核心,低风险,9,沉睡,17.94,0.3514,0.8759,0,1
CUST00000048,傅杰,男,1973-08-13,52,中年,已婚,三口之家,0,1,大专,2,自由职业,89445.37,5-10万,福建,二线,华东,转介绍,2019-05-04,3,5265.34,高净值,中低风险,5,沉睡,17.26,0.599,0.8578,0,1
CUST00000049,刘云琴,女,1997-06-05,28,青壮,已婚,四口之家,2,1,大专,0,学生,100766.11,10-20万,浙江,二线,华东,代理人拓展,2020-07-14,0,0.0,低价值,低风险,5,一般,45.53,0.4446,0.6921,0,0
CUST00000050,钟宁,男,1948-05-19,78,老年,已婚,独居老人,0,1,高中及以下,2,个体经营,36147.92,<5万,江西,二线,华东,广告投放,2023-11-05,3,6653.889999999999,核心,中高风险,0,流失,9.91,0.6419,0.8071,0,0
CUST00000051,邹磊思,男,1993-07-29,32,青壮,已婚,三代同堂,2,1,硕士,0,退休,43345.69,<5万,山东,新一线,华东,活动获客,2022-11-23,3,5107.94,核心,低风险,8,一般,48.98,0.6596,0.8484,0,1
CUST00000052,孙思,男,1986-09-08,39,中青,已婚,二人世界,0,0,本科,1,企业职员,83102.96,5-10万,上海,三线,华东,转介绍,2023-06-14,1,3073.84,核心,低风险,5,一般,44.06,0.484,0.8324,0,0
CUST00000053,姚若娟,女,1986-01-25,40,中青,已婚,三代同堂,1,0,硕士,2,自由职业,96622.74,5-10万,江西,新一线,华东,活动获客,2018-08-10,0,0.0,低价值,中风险,5,一般,46.48,0.5288,0.8565,0,0
CUST00000054,谭雅,女,1990-10-15,35,青壮,已婚,三代同堂,0,1,硕士,1,金融从业,61108.46,5-10万,宁夏,一线,西北,转介绍,2024-09-26,0,0.0,低价值,中低风险,6,一般,41.33,0.5863,0.7791,0,0
CUST00000055,顾晓颖,女,1959-08-29,66,老年,离异,二人世界,0,0,本科,0,学生,154265.06,10-20万,北京,二线,华北,自然流量,2025-03-16,2,2387.51,核心,低风险,6,一般,52.65,0.6246,0.9121,0,0
CUST00000056,黄云颖,女,1975-12-14,50,中年,离异,三代同堂,3,1,硕士,2,个体经营,273313.68,20-50万,贵州,三线,西南,活动获客,2024-02-28,1,2089.31,高净值,中风险,4,活跃,57.23,0.569,0.7951,0,0
CUST00000057,廖伟铭,男,1985-10-04,40,中青,已婚,三代同堂,1,0,高中及以下,2,服务业,34902.04,<5万,新疆,二线,西北,广告投放,2025-03-03,2,4225.51,核心,中低风险,10,一般,36.68,0.6424,0.8673,0,0
CUST00000058,高颖怡,女,1977-05-19,49,中年,已婚,四口之家,2,0,高中及以下,3,工人,211699.57,20-50万,贵州,新一线,西南,活动获客,2024-03-18,2,4043.6900000000005,高净值,中风险,7,一般,52.0,0.4866,0.8862,0,0
CUST00000059,许涛,男,1983-07-03,42,中青,已婚,二人世界,0,0,高中及以下,1,IT技术,26807.04,<5万,海南,三线,华南,转介绍,2024-01-14,2,4786.65,大众,中低风险,0,流失,7.43,0.5309,0.8016,0,0
CUST00000060,王睿军,男,1987-07-02,38,中青,已婚,三口之家,1,0,大专,3,工人,38993.96,<5万,四川,二线,西南,广告投放,2022-10-15,4,5850.25,核心,中风险,6,活跃,63.26,0.7109,0.8461,0,1
CUST00000061,程丹,女,1992-03-17,34,青壮,已婚,单身,0,0,大专,1,IT技术,16366.85,<5万,湖北,四线及以下,华中,转介绍,2023-12-17,3,6393.86,大众,中低风险,6,沉睡,11.67,0.5239,0.7531,0,0
CUST00000062,罗杰,男,2003-12-08,22,青年,未婚,单身,0,0,高中及以下,0,学生,56499.38,5-10万,山东,四线及以下,华东,广告投放,2021-06-20,2,2222.89,大众,低风险,5,一般,41.21,0.6886,0.7704,1,0
CUST00000063,任宁慧,女,1981-03-10,45,中青,已婚,单身,0,0,本科,1,公务员,34679.34,<5万,宁夏,二线,西北,转介绍,2021-04-10,6,9169.34,核心,低风险,5,一般,44.55,0.734,0.8874,0,5
CUST00000064,段文,女,1991-01-08,35,青壮,未婚,三口之家,1,0,大专,1,企业职员,85149.99,5-10万,贵州,二线,西南,活动获客,2022-03-07,3,8422.939999999999,高净值,中低风险,7,一般,44.54,0.7147,0.8723,0,0
CUST00000065,袁兰文,女,1955-03-03,71,老年,已婚,单身,1,0,高中及以下,1,IT技术,17001.97,<5万,天津,三线,华北,企业合作,2022-02-12,0,0.0,低价值,中低风险,6,一般,36.33,0.632,0.6767,0,0
CUST00000066,吴慧,女,1985-07-25,40,中青,已婚,单身,0,1,大专,3,工人,66373.49,5-10万,西藏,一线,西南,转介绍,2020-05-26,4,8825.71,高净值,中高风险,3,沉睡,27.74,0.5941,0.8541,0,1
CUST00000067,吴玲,女,1993-09-22,32,青壮,已婚,单身,0,1,高中及以下,1,IT技术,73891.21,5-10万,浙江,二线,华东,转介绍,2024-05-06,0,0.0,低价值,中低风险,1,一般,50.45,0.4804,0.769,0,0
CUST00000068,顾刚,男,1978-08-02,47,中年,未婚,三口之家,1,0,本科,1,公务员,45888.7,<5万,湖北,二线,华中,活动获客,2018-06-12,1,2975.31,核心,中低风险,6,一般,38.59,0.4483,0.864,0,0
CUST00000069,潘哲斌,男,1982-08-20,43,中青,已婚,三代同堂,1,0,高中及以下,3,工人,13530.08,<5万,上海,四线及以下,华东,活动获客,2020-08-12,1,2124.29,大众,中高风险,10,沉睡,11.04,0.4776,0.6047,0,0
CUST00000070,方皓,男,1988-09-11,37,中青,已婚,三口之家,1,0,博士,1,公务员,476344.75,20-50万,海南,一线,华南,活动获客,2018-01-24,2,3841.51,高净值,中低风险,2,活跃,55.05,0.7026,0.8551,0,0
CUST00000071,钱彦峰,男,1986-04-04,40,中青,已婚,三口之家,1,0,本科,2,自由职业,128220.04,10-20万,内蒙古,三线,华北,活动获客,2024-12-19,3,2170.84,核心,中风险,5,活跃,62.32,0.7715,0.8621,0,1
CUST00000072,谢思,男,1982-08-07,43,中青,已婚,四口之家,2,0,高中及以下,0,退休,39489.19,<5万,江苏,三线,华东,转介绍,2018-07-12,0,0.0,低价值,低风险,6,沉睡,26.48,0.4152,0.7841,0,0
CUST00000073,苏若,女,1987-08-22,38,中青,已婚,三代同堂,4,0,高中及以下,3,工人,22716.24,<5万,宁夏,二线,西北,转介绍,2020-05-27,1,618.76,低价值,中高风险,0,一般,46.18,0.5005,0.6962,0,1
CUST00000074,傅昊平,男,1984-04-19,42,中青,已婚,三代同堂,0,0,本科,1,教师,75384.78,5-10万,河北,一线,华北,转介绍,2019-01-25,1,458.74,大众,低风险,6,一般,31.33,0.5623,0.8099,0,0
CUST00000075,郑思涛,男,1963-05-09,63,中老,已婚,二人世界,0,0,本科,1,医生,31659.5,<5万,福建,四线及以下,华东,自然流量,2024-12-19,4,9637.78,核心,中风险,4,一般,45.32,0.6417,0.8706,0,6
CUST00000076,阎文,男,1987-08-31,38,中青,已婚,三口之家,1,0,本科,1,医生,74955.59,5-10万,天津,二线,华北,活动获客,2020-08-21,3,5848.47,高净值,中低风险,8,活跃,61.39,0.6371,0.8955,0,3
CUST00000077,姜飞,男,1984-01-13,42,中青,已婚,二人世界,0,0,本科,1,公务员,20990.37,<5万,上海,三线,华东,自然流量,2025-10-24,0,0.0,低价值,中低风险,5,一般,30.27,0.5751,0.7484,0,0
CUST00000078,余艺,女,2002-01-31,24,青年,未婚,单身,0,0,高中及以下,2,个体经营,77471.48,5-10万,西藏,新一线,西南,代理人拓展,2023-12-17,2,1659.0100000000002,大众,中低风险,9,一般,48.11,0.7668,0.8476,0,1
CUST00000079,严雅燕,女,1999-01-07,27,青壮,已婚,二人世界,0,0,大专,1,教师,54032.47,5-10万,湖南,二线,华中,企业合作,2025-02-13,3,9373.92,高净值,低风险,0,流失,7.74,0.4639,0.9024,0,0
CUST00000080,尹欣,女,1964-07-28,61,中老,已婚,二人世界,0,0,高中及以下,0,学生,10809.48,<5万,江西,二线,华东,企业合作,2024-08-05,1,2356.78,大众,中低风险,3,沉睡,25.56,0.5588,0.5987,0,0
CUST00000081,郑敏莉,女,1993-01-20,33,青壮,已婚,三代同堂,3,1,本科,2,个体经营,56248.7,5-10万,河北,一线,华北,代理人拓展,2020-02-04,2,3009.83,核心,中风险,2,沉睡,17.93,0.6427,0.7573,0,1
CUST00000082,袁军毅,男,1983-01-21,43,中青,未婚,二人世界,0,0,本科,1,医生,75727.5,5-10万,云南,一线,西南,转介绍,2023-05-28,2,2804.12,核心,低风险,19,高度活跃,80.22,0.7928,0.8339,0,1
CUST00000083,于颖敏,女,1980-01-11,46,中年,已婚,三口之家,1,1,大专,1,企业职员,24181.27,<5万,浙江,四线及以下,华东,企业合作,2021-05-23,6,5154.9400000000005,大众,中低风险,3,一般,44.01,0.7308,0.8755,0,5
CUST00000084,史恒瀚,男,1990-05-14,36,中青,未婚,三口之家,1,1,高中及以下,1,企业职员,175261.39,10-20万,河南,新一线,华中,自然流量,2024-05-23,0,0.0,低价值,中低风险,3,沉睡,24.33,0.4371,0.8452,0,0
CUST00000085,高勇,男,1953-05-29,73,老年,丧偶,空巢,0,0,大专,0,退休,78164.06,5-10万,山西,新一线,华北,自然流量,2020-02-07,3,4079.02,核心,低风险,5,一般,52.52,0.5717,0.8668,0,2
CUST00000086,傅伟,男,1986-01-04,40,中青,已婚,三代同堂,2,1,大专,1,企业职员,28252.6,<5万,广西,二线,华南,企业合作,2026-02-20,3,4179.35,大众,中低风险,4,沉睡,15.12,0.5015,0.8547,0,1
CUST00000087,杨瑶,女,1974-05-31,52,中年,已婚,三口之家,0,1,本科,2,自由职业,48911.44,<5万,新疆,三线,西北,自然流量,2024-08-13,2,2785.44,核心,中风险,6,一般,50.81,0.7211,0.8337,1,3
CUST00000088,洪斌刚,男,1981-09-02,44,中青,已婚,三口之家,1,0,本科,2,农民,84231.58,5-10万,重庆,一线,西南,代理人拓展,2022-02-01,2,7524.889999999999,高净值,中低风险,4,沉睡,29.88,0.4979,0.8448,0,5
CUST00000089,贾鹏鹏,男,1948-01-10,78,老年,已婚,空巢,3,0,硕士,1,教师,78914.55,5-10万,海南,三线,华南,活动获客,2020-06-17,3,6037.51,高净值,中风险,6,一般,53.91,0.6455,0.8879,0,7
CUST00000090,杜娜,女,1984-12-03,41,中青,已婚,三代同堂,1,1,大专,3,工人,137539.32,10-20万,上海,一线,华东,活动获客,2020-12-20,0,0.0,低价值,中风险,5,沉睡,12.31,0.4173,0.7904,0,0
CUST00000091,潘博剑,男,1976-02-04,50,中年,已婚,二人世界,0,0,高中及以下,2,个体经营,150756.69,10-20万,安徽,一线,华东,自然流量,2024-04-28,1,712.36,大众,中低风险,0,流失,3.39,0.3879,0.824,0,0
CUST00000092,贾玲,女,1969-09-03,56,中老,未婚,二人世界,0,0,本科,1,金融从业,105956.73,10-20万,黑龙江,一线,东北,活动获客,2020-02-27,2,5508.929999999999,高净值,中风险,6,一般,54.89,0.6845,0.9119,0,0
CUST00000093,叶文,男,1982-12-31,43,中青,已婚,二人世界,0,1,本科,3,工人,94289.51,5-10万,吉林,四线及以下,东北,自然流量,2018-04-21,2,6891.83,高净值,中风险,9,一般,32.47,0.744,0.8547,0,0
CUST00000094,吕思哲,男,1970-05-26,56,中老,未婚,三代同堂,0,0,本科,2,自由职业,203496.18,20-50万,江西,一线,华东,企业合作,2023-01-27,1,241.34,大众,中高风险,6,活跃,58.29,0.5304,0.8947,0,1
CUST00000095,牛瑞毅,男,1944-12-18,81,老年,已婚,二人世界,3,0,本科,1,公务员,65681.92,5-10万,重庆,一线,西南,自然流量,2026-03-09,0,0.0,低价值,中风险,6,一般,50.3,0.5543,0.8454,0,0
CUST00000096,贾雪,女,1974-04-03,52,中年,已婚,二人世界,0,1,大专,1,IT技术,239038.53,20-50万,陕西,二线,西北,活动获客,2018-05-21,0,0.0,低价值,中低风险,7,活跃,58.96,0.7095,0.8845,0,0
CUST00000097,何晨涛,男,1972-11-02,53,中年,已婚,空巢,1,1,大专,1,企业职员,31991.64,<5万,广东,四线及以下,华南,自然流量,2020-01-15,1,935.68,大众,中低风险,5,活跃,58.31,0.72,0.7311,0,0
CUST00000098,严平,男,1966-11-15,59,中老,已婚,三口之家,0,1,大专,1,公务员,36873.86,<5万,浙江,新一线,华东,自然流量,2025-01-26,3,6248.62,核心,中风险,6,一般,36.74,0.7215,0.8243,0,3
CUST00000099,丁楷哲,男,1971-12-17,54,中年,未婚,单身,0,0,高中及以下,2,服务业,114257.91,10-20万,江西,二线,华东,广告投放,2018-03-20,3,4322.22,高净值,中低风险,6,活跃,63.36,0.7054,0.8882,0,1
CUST00000100,江婷兰,女,1973-01-17,53,中年,丧偶,二人世界,1,1,高中及以下,1,医生,276898.24,20-50万,海南,一线,华南,自然流量,2022-02-26,1,6378.5,高净值,中低风险,5,一般,48.67,0.4483,0.8292,0,0
CUST00000101,范兰,女,2001-10-26,24,青年,未婚,单身,0,0,高中及以下,1,企业职员,35103.52,<5万,山东,二线,华东,活动获客,2024-12-31,2,4148.59,核心,低风险,7,活跃,71.28,0.7909,0.8367,0,1
CUST00000102,江萍,女,1982-09-30,43,中青,已婚,三代同堂,0,0,本科,1,IT技术,29459.45,<5万,河南,三线,华中,自然流量,2020-08-28,0,0.0,低价值,中低风险,6,沉睡,15.42,0.5096,0.7813,1,0
CUST00000103,侯斌,男,2025-07-09,0,少儿,未婚,单身,0,0,大专,2,个体经营,31575.72,<5万,内蒙古,三线,华北,转介绍,2018-03-07,2,1450.08,大众,中低风险,4,沉睡,23.52,0.5334,0.8577,0,1
CUST00000104,袁梅娜,女,1981-06-19,44,中青,已婚,三口之家,1,1,大专,1,金融从业,83934.61,5-10万,福建,二线,华东,广告投放,2022-03-14,1,4177.07,核心,低风险,6,一般,35.17,0.625,0.7401,0,0
CUST00000105,任芳丹,女,1978-05-06,48,中年,已婚,三代同堂,1,1,硕士,0,学生,219688.25,20-50万,上海,二线,华东,转介绍,2021-10-26,0,0.0,低价值,低风险,4,一般,46.57,0.5743,0.7846,0,0
CUST00000106,雷红,女,1973-10-09,52,中年,已婚,空巢,0,0,高中及以下,2,农民,96403.92,5-10万,江西,一线,华东,转介绍,2018-10-14,7,22761.11,高净值,中低风险,8,活跃,64.59,0.8139,0.8785,0,7
CUST00000107,姜皓,男,1993-05-02,33,青壮,已婚,三口之家,1,0,大专,2,个体经营,54649.06,5-10万,安徽,二线,华东,企业合作,2018-05-03,3,9171.35,高净值,中低风险,3,沉睡,27.74,0.4057,0.7909,0,4
CUST00000108,郝思翔,男,1966-01-08,60,中老,已婚,二人世界,0,0,本科,2,自由职业,307550.6,20-50万,广西,一线,华南,自然流量,2025-02-15,2,3685.34,高净值,中风险,7,一般,48.15,0.6739,0.9337,0,3
CUST00000109,侯晨,男,1990-09-06,35,青壮,已婚,三代同堂,1,0,高中及以下,2,自由职业,20201.54,<5万,黑龙江,三线,东北,自然流量,2020-09-30,1,1311.08,大众,中风险,6,一般,32.92,0.6401,0.719,0,0
CUST00000110,阎雨,女,1961-11-24,64,中老,丧偶,二人世界,0,0,高中及以下,0,退休,36962.93,<5万,青海,四线及以下,西北,转介绍,2018-01-04,1,243.06,低价值,中风险,8,一般,38.47,0.6002,0.8051,0,1
CUST00000111,孙然强,男,2006-08-08,19,青年,未婚,单身,0,0,高中及以下,2,农民,14682.08,<5万,重庆,四线及以下,西南,转介绍,2023-01-14,1,931.49,低价值,中风险,9,活跃,73.02,0.6296,0.6642,0,0
CUST00000112,林信昊,男,1982-07-07,43,中青,离异,二人世界,0,0,高中及以下,2,个体经营,24288.14,<5万,河南,四线及以下,华中,广告投放,2019-02-16,1,1981.85,大众,中低风险,8,一般,49.03,0.5697,0.7584,0,0
CUST00000113,袁杰飞,男,1974-06-17,51,中年,离异,二人世界,0,0,硕士,2,服务业,58063.72,5-10万,江西,三线,华东,转介绍,2018-09-07,5,11025.79,高净值,中风险,4,活跃,64.03,0.8165,0.8865,0,4
